NAME,i,STATE,SABB,DISTRICT,P,COMMITTEES,WEBSITE,LPP
"LEVIN, MIKE",71,CALIFORNIA,CA,CA-49,D,Select Committee on the Climate Crisis; Natural Resources; Veterans' Affairs,mikelevin.org,1
"LEWIS, JOHN",121,GEORGIA,GA,GA-05,D,Joint Committee on Taxation; Ways and Means,johnlewisforcongress.com,0
"LIEU, TED",55,CALIFORNIA,CA,CA-33,D,Foreign Affairs; Judiciary,tedlieu.com,0
"LIPINSKI, DANIEL",138,ILLINOIS,IL,IL-03,D,"Transportation and Infrastructure; Science, Space, and Technology",lipinskiforcongress.com,0
"LOEBSACK, DAVID",164,IOWA,IA,IA-02,D,Energy and Commerce,loebsackforcongress.org,1
"LOFGREN, ZOE",41,CALIFORNIA,CA,CA-19,D,"House Administration; Joint Committee of Congress on the Library; Judiciary; Select Committee on the Modernization of Congress; Science, Space, and Technology",zoelofgren.com,0
"LONG, BILLY",234,MISSOURI,MO,MO-07,R,Energy and Commerce,billylongforcongress.com,0
"LOUDERMILK, BARRY",127,GEORGIA,GA,GA-11,R,Financial Services; House Administration; Joint Committee of Congress on the Library,loudermilkforcongress.com,0
"LOWENTHAL, ALAN",69,CALIFORNIA,CA,CA-47,D,Natural Resources; Transportation and Infrastructure,alanlowenthal.nationbuilder.com,0
"LOWEY, NITA",277,NEW YORK,NY,NY-17,D,Appropriations,loweyforcongress.com,0
"LUCAS, FRANK",321,OKLAHOMA,OK,OK-03,R,"Financial Services; Science, Space, and Technology",?,NA
"LUETKEMEYER, BLAINE",230,MISSOURI,MO,MO-03,R,Financial Services,blaineforcongress.com,1
"LUJÁN, BEN R.",260,NEW MEXICO,NM,NM-03,D,Select Committee on the Climate Crisis; Energy and Commerce,benrlujan.com,0
"LURIA, ELAINE",410,VIRGINIA,VI,VI-02,D,Armed Services; Veterans' Affairs,elaineforcongress.com,1
"LYNCH, STEPHEN F.",200,MASSACHUSETTS,MA,MA-08,D,Financial Services; Oversight and Reform; Transportation and Infrastructure,stephenflynch.com,0
"MALINOWSKI, TOM",252,NEW JERSEY,NJ,NJ-07,D,Foreign Affairs; Transportation and Infrastructure,malinowskifornj.com,1
"MALONEY, CAROLYN",272,NEW YORK,NY,NY-12,D,Financial Services; Oversight and Reform,carolynmaloney.com,1
"MALONEY, SEAN PATRICK",278,NEW YORK,NY,NY-18,D,Agriculture; Intelligence; Transportation and Infrastructure,seanmaloney.com,1
"MARCHANT, KENNY",390,TEXAS,TX,TX-24,R,Ethics; Ways and Means,kennymarchant.com,0
"MARSHALL, ROGER",167,KANSAS,KS,KS-01,R,"Agriculture; Science, Space, and Technology",kansansformarshall.com,1
"MASSIE, THOMAS",174,KENTUCKY,KY,KY-04,R,Oversight and Reform; Transportation and Infrastructure,thomasmassie.com,0
"MAST, BRIAN",107,FLORIDA,FL,FL-18,R,Foreign Affairs; Transportation and Infrastructure,mastforcongress.com,1
"MATSUI, DORIS O.",28,CALIFORNIA,CA,CA-06,D,Energy and Commerce,matsuiforcongress.com,1
"MCADAMS, BEN",406,UTAH,UT,UT-04,D,"Financial Services; Science, Space, and Technology",benmcadams.com,1
"MCBATH, LUCY",122,GEORGIA,GA,GA-06,D,Education and Labor; Judiciary,lucyforcongress.com,1
"MCCARTHY, KEVIN",45,CALIFORNIA,CA,CA-23,R,,mccarthyforcongress.com,1
"MCCAUL, MICHAEL T.",376,TEXAS,TX,TX-10,R,Foreign Affairs; Homeland Security,michaelmccaul.com,1
"MCCLINTOCK, TOM",26,CALIFORNIA,CA,CA-04,R,Natural Resources; Judiciary,tommcclintock.com,0
"MCCOLLUM, BETTY",219,MINNESOTA,MN,MN-04,D,Appropriations,mccollumforcongress.com,1
"MCEACHIN, A. DONALD",412,VIRGINIA,VI,VI-04,D,Select Committee on the Climate Crisis; Energy and Commerce; Natural Resources,donaldmceachin.com,0
"MCGOVERN, JAMES",194,MASSACHUSETTS,MA,MA-02,D,Agriculture; Rules,jimmcgovern.com,1
"MCHENRY, PATRICK T.",297,NORTH CAROLINA,NC,NC-10,R,Financial Services,mchenryforcongress.com,1
"MCKINLEY, DAVID",430,WEST VIRGINIA,WV,WV-01,R,Energy and Commerce,mckinley2018.com,1
"MCNERNEY, JERRY",31,CALIFORNIA,CA,CA-09,D,"Energy and Commerce; Science, Space, and Technology",jerrymcnerney.org,0
"MEADOWS, MARK",298,NORTH CAROLINA,NC,NC-11,R,Oversight and Reform; Transportation and Infrastructure,meadowsforcongress.com,0
"MEEKS, GREGORY W.",265,NEW YORK,NY,NY-05,D,Financial Services; Foreign Affairs,congressmangregorymeeks.com,0
"MENG, GRACE",266,NEW YORK,NY,NY-06,D,Appropriations; Ethics,gracefornewyork.com,0
"MEUSER, DANIEL",337,PENNSYLVANIA,PA,PA-09,R,Budget; Education and Labor; Veterans' Affairs,meuserforcongress.com,0
"MILLER, CAROL",432,WEST VIRGINIA,WV,WV-03,R,Select Committee on the Climate Crisis; Oversight and Reform; Transportation and Infrastructure,electcarolmiller.com,0
"MITCHELL, PAUL",211,MICHIGAN,MI,MI-10,R,Armed Services; Transportation and Infrastructure,paulmitchellforcongress.com,0
"MOOLENAAR, JOHN",205,MICHIGAN,MI,MI-04,R,Appropriations,johnmoolenaarforcongress.com,1
"MOONEY, ALEX",431,WEST VIRGINIA,WV,WV-02,R,Financial Services,mooneyforcongress.com,0
"MOORE, GWEN",436,WISCONSIN,WI,WI-04,D,Ways and Means,gwenmooreforcongress.com,0
"MORELLE, JOSEPH",285,NEW YORK,NY,NY-25,D,Budget; Education and Labor; Rules,votemorelle.com,0
"MOULTON, SETH",198,MASSACHUSETTS,MA,MA-06,D,Armed Services; Budget,sethmoulton.com,0
"MUCARSEL-POWELL, DEBBIE",115,FLORIDA,FL,FL-26,D,Judiciary; Transportation and Infrastructure,debbiemucarselpowell.com,1
"MULLIN, MARKWAYNE",320,OKLAHOMA,OK,OK-02,R,Energy and Commerce,mullinforcongress.com,0
"MURPHY, STEPHANIE",96,FLORIDA,FL,FL-07,D,Ways and Means,stephaniemurphyforcongress.com,0
"NADLER, JERROLD",270,NEW YORK,NY,NY-10,D,Judiciary,jerrynadler.com,0
"NAPOLITANO, GRACE",54,CALIFORNIA,CA,CA-32,D,Natural Resources; Transportation and Infrastructure,napolitanoforcongress.com,0
"NEAL, RICHARD E.",193,MASSACHUSETTS,MA,MA-01,D,Joint Committee on Taxation; Ways and Means,nealforcongress.com,1
"NEGUSE, JOE",77,COLORADO,CO,CO-02,D,Select Committee on the Climate Crisis; Natural Resources; Judiciary,joeneguseforcongress.com,1
"NEWHOUSE, DAN",423,WASHINGTON,WA,WA-04,R,Appropriations; Select Committee on the Modernization of Congress,dannewhouse.com,0
"NORCROSS, DONALD",246,NEW JERSEY,NJ,NJ-01,D,Armed Services; Education and Labor,donaldnorcrossforcongress.com,0
"NORMAN, RALPH",354,SOUTH CAROLINA,SC,SC-05,R,"Budget; Oversight and Reform; Science, Space, and Technology",electralphnorman.com,0
"NUNES, DEVIN",44,CALIFORNIA,CA,CA-22,R,Intelligence; Joint Committee on Taxation; Ways and Means,devinnunes.com,0
"O'HALLERAN, TOM",10,ARIZONA,AZ,AZ-01,D,Agriculture; Energy and Commerce,tomohalleran.com,0
"OCASIO-CORTEZ, ALEXANDRIA",274,NEW YORK,NY,NY-14,D,Financial Services; Oversight and Reform,ocasio2018.com,1
"OLSON, PETE",388,TEXAS,TX,TX-22,R,"Energy and Commerce; Science, Space, and Technology",olsonforcongress.com,1
"OMAR, ILHAN",220,MINNESOTA,MN,MN-05,D,Budget; Education and Labor; Foreign Affairs,ilhanomar.com,1
"PALAZZO, STEVEN",227,MISSISSIPPI,MS,MS-04,R,Appropriations,palazzoforcongress.com,0
"PALLONE JR., FRANK",251,NEW JERSEY,NJ,NJ-06,D,Energy and Commerce,pallonefornewjersey.com,0
"PALMER, GARY",6,ALABAMA,AL,AL-06,R,Select Committee on the Climate Crisis; Transportation and Infrastructure,palmerforalabama.com,0
"PANETTA, JIMMY",42,CALIFORNIA,CA,CA-20,D,Agriculture; Budget; Ways and Means,jimmypanetta.com,0
"PAPPAS, CHRIS",244,NEW HAMPSHIRE,NH,NH-01,D,Transportation and Infrastructure; Veterans' Affairs,chrispappas.org,1
"PASCRELL JR., BILL",254,NEW JERSEY,NJ,NJ-09,D,Ways and Means,billpascrell.com,0
"PAYNE JR., DONALD",255,NEW JERSEY,NJ,NJ-10,D,Homeland Security; Transportation and Infrastructure,paynejr4congress.com,0
"PELOSI, NANCY",34,CALIFORNIA,CA,CA-12,D,,pelosiforcongress.org,1
"PENCE, GREG",159,INDIANA,IN,IN-06,R,Foreign Affairs; Transportation and Infrastructure,gregpenceforcongress.com,1
"PERLMUTTER, ED",82,COLORADO,CO,CO-07,D,"Financial Services; Rules; Science, Space, and Technology",perlmutterforcolorado.com,0
"PERRY, SCOTT",338,PENNSYLVANIA,PA,PA-10,R,Foreign Affairs; Transportation and Infrastructure,patriotsforperry.com,0
"PETERS, SCOTT",74,CALIFORNIA,CA,CA-52,D,Budget; Energy and Commerce,scottpeters.com,0
"PETERSON, COLLIN C.",222,MINNESOTA,MN,MN-07,D,Agriculture; Veterans' Affairs,petersonforcongress.com,0
"PHILLIPS, DEAN",218,MINNESOTA,MN,MN-03,D,Financial Services; Foreign Affairs; Ethics,phillipsforcongress.org,1
"PINGREE, CHELLIE",183,MAINE,ME,ME-01,D,Agriculture; Appropriations,chelliepingree.com,0
"POCAN, MARK",434,WISCONSIN,WI,WI-02,D,Appropriations; Select Committee on the Modernization of Congress,pocanforcongress.com,0
"PORTER, KATIE",67,CALIFORNIA,CA,CA-45,D,Financial Services,katieporter.com,0
"POSEY, BILL",97,FLORIDA,FL,FL-08,R,"Financial Services; Science, Space, and Technology",billposey.com,0
"PRESSLEY, AYANNA",199,MASSACHUSETTS,MA,MA-07,D,Financial Services; Oversight and Reform,ayannapressley.com,1
"PRICE, DAVID",291,NORTH CAROLINA,NC,NC-04,D,Appropriations; Budget,priceforcongress.com,0
"QUIGLEY, MIKE",140,ILLINOIS,IL,IL-05,D,Appropriations; Intelligence,quigleyforcongress.com,0
"RASKIN, JAMIE",192,MARYLAND,MD,MD-08,D,Oversight and Reform; House Administration; Judiciary; Rules,jamieraskin.com,0
"RATCLIFFE, JOHN",370,TEXAS,TX,TX-04,R,Homeland Security; Intelligence; Judiciary; Ethics,ratcliffeforcongress.com,0
"REED, TOM",283,NEW YORK,NY,NY-23,R,Ways and Means,tomreedforcongress.com,0
"RESCHENTHALER, GUY",342,PENNSYLVANIA,PA,PA-14,R,Foreign Affairs; Judiciary,guyforpa.com,1
"RICE, KATHLEEN",264,NEW YORK,NY,NY-04,D,Homeland Security; Veterans' Affairs,kathleenrice.com,1
"RICE, TOM",356,SOUTH CAROLINA,SC,SC-07,R,Ways and Means,votetomrice.com,0
"RICHMOND, CEDRIC",178,LOUISIANA,LA,LA-02,D,Homeland Security; Judiciary,cedricrichmond.com,0
"RIGGLEMAN, DENVER",413,VIRGINIA,VI,VI-05,R,Financial Services,denverforcongress.com,1
"ROBY, MARTHA",2,ALABAMA,AL,AL-02,R,Appropriations; Judiciary,martharoby.com,1
"RODGERS, CATHY MCMORRIS",424,WASHINGTON,WA,WA-05,R,Energy and Commerce,cathyforcongress.com,1
"ROE, PHIL",358,TENNESSEE,TN,TN-01,R,Education and Labor; Veterans' Affairs,roe4congress.com,0
"ROGERS, HAROLD",175,KENTUCKY,KY,KY-05,R,Appropriations,?,NA
"ROGERS, MIKE",3,ALABAMA,AL,AL-03,R,Armed Services; Homeland Security,mikerogersforcongress.com,0
"ROONEY, FRANCIS",108,FLORIDA,FL,FL-19,R,Education and Labor; Foreign Affairs,francisrooney.com,1
"ROSE, JOHN W.",363,TENNESSEE,TN,TN-06,R,Financial Services,johnrose.com,1
"ROSE, MAX",271,NEW YORK,NY,NY-11,D,Homeland Security; Veterans' Affairs,maxroseforcongress.com,1
"ROUDA, HARLEY",70,CALIFORNIA,CA,CA-48,D,Oversight and Reform; Transportation and Infrastructure,harleyforcongress.com,1
"ROUZER, DAVID",294,NORTH CAROLINA,NC,NC-07,R,Agriculture; Transportation and Infrastructure,davidrouzer.com,0
"ROY, CHIP",387,TEXAS,TX,TX-21,R,Budget; Oversight and Reform; Veterans' Affairs,chiproy.com,1
"ROYBAL-ALLARD, LUCILLE",62,CALIFORNIA,CA,CA-40,D,Appropriations,lucilleforcongress.org,0
"RUIZ, RAUL",58,CALIFORNIA,CA,CA-36,D,Energy and Commerce,drraulruiz.com,1
"RUPPERSBERGER, C. A. DUTCH",186,MARYLAND,MD,MD-02,D,Appropriations,dutchforcongress.com,1
"RUSH, BOBBY L.",136,ILLINOIS,IL,IL-01,D,Energy and Commerce,?,NA
"RUTHERFORD, JOHN",93,FLORIDA,FL,FL-04,R,Appropriations,votejohnrutherford.com,0
"RYAN, TIM",315,OHIO,OH,OH-13,D,Appropriations; Joint Committee of Congress on the Library,timryanforamerica.com,1
"SÁNCHEZ, LINDA",60,CALIFORNIA,CA,CA-38,D,Ways and Means,voteforlinda.com,0
"SARBANES, JOHN P.",187,MARYLAND,MD,MD-03,D,Oversight and Reform; Energy and Commerce,johnsarbanes.com,1
"SCALISE, STEVE",177,LOUISIANA,LA,LA-01,R,Energy and Commerce,stevescalise.com,1
"SCANLON, MARY GAY",333,PENNSYLVANIA,PA,PA-05,D,Judiciary; Select Committee on the Modernization of Congress; Rules,scanlonforcongress.com,0
"SCHAKOWSKY, JAN",144,ILLINOIS,IL,IL-09,D,Budget; Energy and Commerce,janschakowsky.org,0
"SCHIFF, ADAM",50,CALIFORNIA,CA,CA-28,D,Intelligence,adamschiff.com,1
"SCHNEIDER, BRADLEY",145,ILLINOIS,IL,IL-10,D,Small Business; Ways and Means,schneiderforcongress.com,0
"SCHRADER, KURT",328,OREGON,OR,OR-05,D,Energy and Commerce,kurtschrader.com,1
"SCHRIER, KIM",427,WASHINGTON,WA,WA-08,D,Agriculture; Education and Labor,drkimschrier.com,1
"SCHWEIKERT, DAVID",15,ARIZONA,AZ,AZ-06,R,Ways and Means,davidschweikert.com,0
"SCOTT, AUSTIN",124,GEORGIA,GA,GA-08,R,Budget; Select Committee on the Modernization of Congress; Transportation and Infrastructure; Rules,scottforga.com,1
"SCOTT, DAVID",129,GEORGIA,GA,GA-13,D,Agriculture; Financial Services,?,NA
"SCOTT, ROBERT C.",411,VIRGINIA,VI,VI-03,D,Budget; Education and Labor,bobbyscottforcongress.com,0
"SENSENBRENNER, F. JAMES",437,WISCONSIN,WI,WI-05,R,Foreign Affairs; Judiciary,sensenbrenner.org,0
"SERRANO, JOSÉ E.",275,NEW YORK,NY,NY-15,D,Appropriations,?,NA
"SEWELL, TERRI A.",7,ALABAMA,AL,AL-07,D,Intelligence; Ways and Means,sewellforcongress.com,0
"SHALALA, DONNA E.",116,FLORIDA,FL,FL-27,D,Education and Labor; Rules,donnashalala.com,1
"SHERMAN, BRAD",52,CALIFORNIA,CA,CA-30,D,"Financial Services; Foreign Affairs; Science, Space, and Technology",bradsherman.com,0
"SHERRILL, MIKIE",256,NEW JERSEY,NJ,NJ-11,D,"Armed Services; Science, Space, and Technology",mikiesherrill.com,1
"SHIMKUS, JOHN",150,ILLINOIS,IL,IL-15,R,Energy and Commerce,johnshimkus.com,1
"SIMPSON, MIKE",135,IDAHO,ID,ID-02,R,Appropriations,simpsonforcongress.com,0
"SIRES, ALBIO",253,NEW JERSEY,NJ,NJ-08,D,Budget; Foreign Affairs; Transportation and Infrastructure,?,NA
"SLOTKIN, ELISSA",209,MICHIGAN,MI,MI-08,D,Armed Services; Homeland Security,elissaforcongress.com,1
"SMITH, ADAM",428,WASHINGTON,WA,WA-09,D,Armed Services,electadamsmith.com,0
"SMITH, ADRIAN",239,NEBRASKA,NE,NE-03,R,Ways and Means,joinadrian.com,0
"SMITH, CHRIS",249,NEW JERSEY,NJ,NJ-04,R,Foreign Affairs,smith4nj.com,1
"SMITH, JASON",235,MISSOURI,MO,MO-08,R,Budget; Ways and Means,electjasonsmith.com,0
"SMUCKER, LLOYD",339,PENNSYLVANIA,PA,PA-11,R,Education and Labor; Transportation and Infrastructure,electsmuckerpa.com,0
"SOTO, DARREN",98,FLORIDA,FL,FL-09,D,Energy and Commerce; Natural Resources,darrensoto.com,0
"SPANBERGER, ABIGAIL",415,VIRGINIA,VI,VI-07,D,Agriculture; Foreign Affairs,abigailspanberger.com,0
"SPANO, ROSS",104,FLORIDA,FL,FL-15,R,Transportation and Infrastructure; Small Business,rossspano.com,0
"SPEIER, JACKIE",36,CALIFORNIA,CA,CA-14,D,Armed Services; Oversight and Reform; Intelligence,jackiespeier.org,0
"STANTON, GREG",18,ARIZONA,AZ,AZ-09,D,Judiciary; Transportation and Infrastructure,stantonforarizona.com,0
"STAUBER, PETE",223,MINNESOTA,MN,MN-08,R,Transportation and Infrastructure; Small Business,petestauberforcongress.com,0
"STEFANIK, ELISE",281,NEW YORK,NY,NY-21,R,Armed Services; Education and Labor; Intelligence,eliseforcongress.com,0
"STEIL, BRYAN",433,WISCONSIN,WI,WI-01,R,Financial Services,steilforwisconsin.com,0
"STEUBE, W. GREGORY",106,FLORIDA,FL,FL-17,R,Oversight and Reform; Judiciary; Veterans' Affairs,electgregsteube.com,1
"STEVENS, HALEY",212,MICHIGAN,MI,MI-11,D,"Education and Labor; Science, Space, and Technology",haleystevensforcongress.com,0
"STEWART, CHRIS",404,UTAH,UT,UT-02,R,Appropriations; Budget; Intelligence,stewartforutah.com,0
"STIVERS, STEVE",317,OHIO,OH,OH-15,R,Financial Services,stevestivers.com,0
"SUOZZI, THOMAS",263,NEW YORK,NY,NY-03,D,Ways and Means,suozziforcongress.com,0
"SWALWELL, ERIC",37,CALIFORNIA,CA,CA-15,D,Intelligence; Judiciary,ericswalwell.com,1
"TAKANO, MARK",63,CALIFORNIA,CA,CA-41,D,Education and Labor; Veterans' Affairs,marktakano.com,0
"TAYLOR, VAN",369,TEXAS,TX,TX-03,R,Education and Labor; Homeland Security,vantaylor.com,1
"THOMPSON, BENNIE G.",225,MISSISSIPPI,MS,MS-02,D,Homeland Security,benniethompson.com,0
"THOMPSON, GLENN",343,PENNSYLVANIA,PA,PA-15,R,Agriculture; Education and Labor,friendsofglennthompson.com,1
"THOMPSON, MIKE",27,CALIFORNIA,CA,CA-05,D,Ways and Means,mikethompsonforcongress.com,0
"THORNBERRY, MAC",379,TEXAS,TX,TX-13,R,Armed Services,macthornberry.com,0
"TIMMONS, WILLIAM",353,SOUTH CAROLINA,SC,SC-04,R,Budget; Education and Labor; Select Committee on the Modernization of Congress,votetimmons.com,1
"TIPTON, SCOTT",78,COLORADO,CO,CO-03,R,Financial Services,votetipton.com,1
"TITUS, DINA",240,NEVADA,NV,NV-01,D,Foreign Affairs; Homeland Security; Transportation and Infrastructure,dinatitus.com,1
"TLAIB, RASHIDA",214,MICHIGAN,MI,MI-13,D,Financial Services; Oversight and Reform,rashidaforcongress.com,1
"TONKO, PAUL D.",280,NEW YORK,NY,NY-20,D,"Energy and Commerce; Natural Resources; Science, Space, and Technology",paultonko.net,1
"TORRES SMALL, XOCHITL",259,NEW MEXICO,NM,NM-02,D,Armed Services; Homeland Security,xochforcongress.com,0
"TORRES, NORMA",57,CALIFORNIA,CA,CA-35,D,Appropriations; Rules,normatorres.com,0
"TRAHAN, LORI",195,MASSACHUSETTS,MA,MA-03,D,Armed Services; Education and Labor,loritrahan.com,1
"TRONE, DAVID",190,MARYLAND,MD,MD-06,D,Education and Labor; Foreign Affairs,davidtrone.com,1
"TURNER, MICHAEL",312,OHIO,OH,OH-10,R,Armed Services; Intelligence,miketurner.com,0
"UNDERWOOD, LAUREN",149,ILLINOIS,IL,IL-14,D,Education and Labor; Homeland Security; Veterans' Affairs,underwoodforcongress.com,1
"UPTON, FRED",207,MICHIGAN,MI,MI-06,R,Energy and Commerce,fredupton.com,0
"VAN DREW, JEFFERSON",247,NEW JERSEY,NJ,NJ-02,D,Agriculture; Natural Resources,vandrewforcongress.com,1
"VARGAS, JUAN",73,CALIFORNIA,CA,CA-51,D,Financial Services; Foreign Affairs,votevargas.com,0
"VEASEY, MARC",399,TEXAS,TX,TX-33,D,Energy and Commerce; Small Business,marcveasey.com,0
"VELA, FILEMON",400,TEXAS,TX,TX-34,D,Agriculture; Armed Services,filemonvelaforcongress.com,0
"VELÁZQUEZ, NYDIA M.",267,NEW YORK,NY,NY-07,D,Financial Services; Natural Resources; Small Business,reelectnydiavelazquez.com,0
"VISCLOSKY, PETER",154,INDIANA,IN,IN-01,D,Appropriations,viscloskyforcongress.us,1
"WAGNER, ANN",229,MISSOURI,MO,MO-02,R,Financial Services; Foreign Affairs,annwagner.com,1
"WALBERG, TIM",208,MICHIGAN,MI,MI-07,R,Education and Labor; Energy and Commerce,walbergforcongress.com,1
"WALDEN, GREG",325,OREGON,OR,OR-02,R,Energy and Commerce,gregwalden.com,1
"WALKER, MARK",293,NORTH CAROLINA,NC,NC-06,R,Education and Labor; House Administration; Homeland Security,walker4nc.com,0
"WALORSKI, JACKIE",155,INDIANA,IN,IN-02,R,Ethics; Ways and Means,standwithjackie.com,0
"WALTZ, MICHAEL",95,FLORIDA,FL,FL-06,R,"Armed Services; Science, Space, and Technology",michaelwaltz.com,1
"WASSERMAN SCHULTZ, DEBBIE",112,FLORIDA,FL,FL-23,D,Appropriations; Oversight and Reform,debbiewassermanschultz.com,0
"WATERS, MAXINE",65,CALIFORNIA,CA,CA-43,D,Financial Services,maxinewatersforcongress.com,0
"WATKINS, STEVE",168,KANSAS,KS,KS-02,R,Education and Labor; Foreign Affairs; Veterans' Affairs,steveforkansas.com,0
"WATSON COLEMAN, BONNIE",257,NEW JERSEY,NJ,NJ-12,D,Appropriations; Homeland Security,bonnieforcongress.com,0
"WEBER, RANDY",380,TEXAS,TX,TX-14,R,"Transportation and Infrastructure; Science, Space, and Technology",randyweber.org,1
"WEBSTER, DANIEL",100,FLORIDA,FL,FL-11,R,Natural Resources; Transportation and Infrastructure,electwebster.com,0
"WELCH, PETER",407,VERMONT,VT,VT-AL,D,Oversight and Reform; Energy and Commerce; Intelligence,welchforcongress.com,0
"WENSTRUP, BRAD",304,OHIO,OH,OH-02,R,Intelligence; Ways and Means,usabrad.com,0
"WESTERMAN, BRUCE",22,ARKANSAS,AR,AR-04,R,Natural Resources; Transportation and Infrastructure,brucewesterman.com,0
"WEXTON, JENNIFER",418,VIRGINIA,VI,VI-10,D,"Financial Services; Science, Space, and Technology",jenniferwexton.com,0
"WILD, SUSAN",335,PENNSYLVANIA,PA,PA-07,D,Education and Labor; Foreign Affairs; Ethics,wildforcongress.com,1
"WILLIAMS, ROGER",391,TEXAS,TX,TX-25,R,Financial Services,rogerforcongress.com,0
"WILSON, FREDERICA",113,FLORIDA,FL,FL-24,D,Education and Labor; Transportation and Infrastructure,fredericawilsonforcongress.com,0
"WILSON, JOE",351,SOUTH CAROLINA,SC,SC-02,R,Armed Services; Foreign Affairs,joemeansjobs.com,0
"WITTMAN, ROBERT J.",409,VIRGINIA,VI,VI-01,R,Armed Services; Natural Resources,robwittman.com,1
"WOMACK, STEVE",21,ARKANSAS,AR,AR-03,R,Appropriations; Budget,womackforcongress.com,0
"WOODALL, ROBERT",123,GEORGIA,GA,GA-07,R,Judiciary,robwoodall.com,0
"WRIGHT, RON",372,TEXAS,TX,TX-06,R,Education and Labor; Foreign Affairs,wright4congress.com,1
"YARMUTH, JOHN A.",173,KENTUCKY,KY,KY-03,D,Budget,yarmuthforcongress.com,0
"YOHO, TED",92,FLORIDA,FL,FL-03,R,Agriculture; Foreign Affairs,tedyoho.com,1
"YOUNG, DON",8,ALASKA,AK,AK-AL,R,Natural Resources; Transportation and Infrastructure,alaskansfordonyoung.com,0
"ZELDIN, LEE",261,NEW YORK,NY,NY-01,R,Financial Services; Foreign Affairs,zeldinforcongress.com,1
[VACANCY],290,NORTH CAROLINA,NC,NC-03,,,NA,NA
[VACANCY],296,NORTH CAROLINA,NC,NC-09,,,NA,NA
